timestamp,user,src_host,dst_host,result,src_ip
53,U127,C155,DST-HOST,SUCCESS,C155
53,U13,C172,DST-HOST,SUCCESS,C172
53,U85,C108,DST-HOST,SUCCESS,C108
53,U60,C173,DST-HOST,SUCCESS,C173
53,U60,C157,DST-HOST,SUCCESS,C157
53,U12,C174,DST-HOST,SUCCESS,C174
53,U95,C154,DST-HOST,SUCCESS,C154
53,U105,C113,DST-HOST,SUCCESS,C113
53,U105,C160,DST-HOST,SUCCESS,C160
53,U97,C175,DST-HOST,SUCCESS,C175
53,U128,C167,DST-HOST,SUCCESS,C167
53,U128,C176,DST-HOST,SUCCESS,C176
53,U112,C177,DST-HOST,SUCCESS,C177
54,U129,C178,DST-HOST,SUCCESS,C178
54,U130,C179,DST-HOST,SUCCESS,C179
54,U130,C148,DST-HOST,SUCCESS,C148
54,U131,C180,DST-HOST,SUCCESS,C180
54,U132,C181,DST-HOST,SUCCESS,C181
54,U132,C148,DST-HOST,SUCCESS,C148
54,U133,C182,DST-HOST,SUCCESS,C182
54,U134,C183,DST-HOST,SUCCESS,C183
54,U122,C166,DST-HOST,SUCCESS,C166
54,U124,C168,DST-HOST,SUCCESS,C168
54,U135,C184,DST-HOST,SUCCESS,C184
54,U136,C185,DST-HOST,SUCCESS,C185
54,U116,C155,DST-HOST,SUCCESS,C155
54,U127,C155,DST-HOST,SUCCESS,C155
54,U85,C108,DST-HOST,SUCCESS,C108
54,U94,C186,DST-HOST,SUCCESS,C186
54,U94,C110,DST-HOST,SUCCESS,C110
54,U60,C65,DST-HOST,SUCCESS,C65
54,U60,C157,DST-HOST,SUCCESS,C157
54,U12,C13,DST-HOST,SUCCESS,C13
54,U95,C154,DST-HOST,SUCCESS,C154
54,U105,C160,DST-HOST,SUCCESS,C160
54,U97,C161,DST-HOST,SUCCESS,C161
54,U112,C144,DST-HOST,SUCCESS,C144
55,U129,C178,DST-HOST,SUCCESS,C178
55,U137,C187,DST-HOST,SUCCESS,C187
55,U138,C188,DST-HOST,SUCCESS,C188
55,U133,C182,DST-HOST,SUCCESS,C182
55,U134,C183,DST-HOST,SUCCESS,C183
55,U139,C189,DST-HOST,SUCCESS,C189
55,U140,C190,DST-HOST,SUCCESS,C190
55,U141,C191,DST-HOST,SUCCESS,C191
55,U124,C192,DST-HOST,SUCCESS,C192
55,U142,C193,DST-HOST,SUCCESS,C193
55,U126,C140,DST-HOST,SUCCESS,C140
55,U143,C194,DST-HOST,SUCCESS,C194
55,U92,C154,DST-HOST,SUCCESS,C154
55,U48,C171,DST-HOST,SUCCESS,C171
55,U60,C157,DST-HOST,SUCCESS,C157
55,U12,C13,DST-HOST,SUCCESS,C13
55,U95,C154,DST-HOST,SUCCESS,C154
55,U105,C160,DST-HOST,SUCCESS,C160
56,U144,C195,DST-HOST,SUCCESS,C195
56,U145,C196,DST-HOST,SUCCESS,C196
56,U146,C197,DST-HOST,SUCCESS,C197
56,U147,C198,DST-HOST,SUCCESS,C198
56,U137,C187,DST-HOST,SUCCESS,C187
56,U148,C134,DST-HOST,SUCCESS,C134
56,U148,C199,DST-HOST,SUCCESS,C199
56,U138,C188,DST-HOST,SUCCESS,C188
56,U149,C82,DST-HOST,SUCCESS,C82
56,U133,C182,DST-HOST,SUCCESS,C182
56,U134,C183,DST-HOST,SUCCESS,C183
56,U134,C134,DST-HOST,SUCCESS,C134
56,U121,C200,DST-HOST,SUCCESS,C200
56,U121,C165,DST-HOST,SUCCESS,C165
56,U150,C150,DST-HOST,SUCCESS,C150
56,U150,C201,DST-HOST,SUCCESS,C201
56,U139,C189,DST-HOST,SUCCESS,C189
56,U151,C202,DST-HOST,SUCCESS,C202
56,U140,C190,DST-HOST,SUCCESS,C190
56,U141,C203,DST-HOST,SUCCESS,C203
56,U141,C204,DST-HOST,SUCCESS,C204
56,U141,C191,DST-HOST,SUCCESS,C191
56,U141,C205,DST-HOST,SUCCESS,C205
56,U141,C151,DST-HOST,SUCCESS,C151
56,U141,C200,DST-HOST,SUCCESS,C200
56,U124,C192,DST-HOST,SUCCESS,C192
56,U124,C168,DST-HOST,SUCCESS,C168
56,U152,C206,DST-HOST,SUCCESS,C206
56,U153,C207,DST-HOST,SUCCESS,C207
56,U153,C148,DST-HOST,SUCCESS,C148
56,U29,C30,DST-HOST,SUCCESS,C30
56,U154,C208,DST-HOST,SUCCESS,C208
56,U154,C148,DST-HOST,SUCCESS,C148
56,U155,C161,DST-HOST,SUCCESS,C161
56,U92,C153,DST-HOST,SUCCESS,C153
56,U92,C154,DST-HOST,SUCCESS,C154
56,U13,C209,DST-HOST,SUCCESS,C209
56,U12,C108,DST-HOST,SUCCESS,C108
56,U12,C210,DST-HOST,SUCCESS,C210
56,U12,C211,DST-HOST,SUCCESS,C211
56,U12,C94,DST-HOST,SUCCESS,C94
56,U12,C209,DST-HOST,SUCCESS,C209
56,U12,C13,DST-HOST,SUCCESS,C13
56,U12,C54,DST-HOST,SUCCESS,C54
56,U95,C154,DST-HOST,SUCCESS,C154
56,U105,C160,DST-HOST,SUCCESS,C160
56,U156,C161,DST-HOST,SUCCESS,C161
56,U97,C161,DST-HOST,SUCCESS,C161
56,U157,C212,DST-HOST,SUCCESS,C212
57,U144,C195,DST-HOST,SUCCESS,C195
57,U145,C196,DST-HOST,SUCCESS,C196
57,U131,C180,DST-HOST,SUCCESS,C180
57,U131,C151,DST-HOST,SUCCESS,C151
57,U146,C197,DST-HOST,SUCCESS,C197
57,U147,C198,DST-HOST,SUCCESS,C198
57,U121,C151,DST-HOST,SUCCESS,C151
57,U121,C165,DST-HOST,SUCCESS,C165
57,U151,C202,DST-HOST,SUCCESS,C202
57,U141,C203,DST-HOST,SUCCESS,C203
57,U141,C191,DST-HOST,SUCCESS,C191
57,U141,C205,DST-HOST,SUCCESS,C205
57,U141,C151,DST-HOST,SUCCESS,C151
57,U152,C206,DST-HOST,SUCCESS,C206
57,U29,C30,DST-HOST,SUCCESS,C30
57,U92,C154,DST-HOST,SUCCESS,C154
57,U127,C155,DST-HOST,SUCCESS,C155
57,U13,C172,DST-HOST,SUCCESS,C172
57,U60,C213,DST-HOST,SUCCESS,C213
57,U60,C107,DST-HOST,SUCCESS,C107
57,U105,C160,DST-HOST,SUCCESS,C160
58,U158,C214,DST-HOST,SUCCESS,C214
58,U29,C30,DST-HOST,SUCCESS,C30
58,U77,C78,DST-HOST,SUCCESS,C78
58,U92,C154,DST-HOST,SUCCESS,C154
58,U48,C51,DST-HOST,SUCCESS,C51
58,U116,C155,DST-HOST,SUCCESS,C155
58,U13,C172,DST-HOST,SUCCESS,C172
58,U13,C32,DST-HOST,SUCCESS,C32
58,U85,C215,DST-HOST,SUCCESS,C215
58,U85,C127,DST-HOST,SUCCESS,C127
58,U60,C173,DST-HOST,SUCCESS,C173
58,U60,C65,DST-HOST,SUCCESS,C65
58,U60,C157,DST-HOST,SUCCESS,C157
58,U159,C160,DST-HOST,SUCCESS,C160
58,U156,C161,DST-HOST,SUCCESS,C161
58,U97,C161,DST-HOST,SUCCESS,C161
58,U128,C167,DST-HOST,SUCCESS,C167
58,U128,C176,DST-HOST,SUCCESS,C176
58,U112,C144,DST-HOST,SUCCESS,C144
58,U112,C145,DST-HOST,SUCCESS,C145
58,U66,C1,DST-HOST,SUCCESS,C1
58,U157,C212,DST-HOST,SUCCESS,C212
59,U158,C214,DST-HOST,SUCCESS,C214
59,U145,C196,DST-HOST,SUCCESS,C196
59,U160,C216,DST-HOST,SUCCESS,C216
59,U161,C217,DST-HOST,SUCCESS,C217
59,U162,C218,DST-HOST,SUCCESS,C218
59,U151,C202,DST-HOST,SUCCESS,C202
59,U163,C219,DST-HOST,SUCCESS,C219
59,U163,C220,DST-HOST,SUCCESS,C220
59,U29,C30,DST-HOST,SUCCESS,C30
59,U92,C154,DST-HOST,SUCCESS,C154
59,U85,C93,DST-HOST,SUCCESS,C93
59,U85,C127,DST-HOST,SUCCESS,C127
59,U60,C65,DST-HOST,SUCCESS,C65
59,U60,C157,DST-HOST,SUCCESS,C157
59,U12,C221,DST-HOST,SUCCESS,C221
59,U12,C13,DST-HOST,SUCCESS,C13
59,U105,C160,DST-HOST,SUCCESS,C160
59,U159,C160,DST-HOST,SUCCESS,C160
59,U112,C144,DST-HOST,SUCCESS,C144
59,U112,C145,DST-HOST,SUCCESS,C145
59,U66,C1,DST-HOST,SUCCESS,C1
59,U46,C154,DST-HOST,SUCCESS,C154
60,U164,C222,DST-HOST,SUCCESS,C222
60,U165,C223,DST-HOST,SUCCESS,C223
60,U161,C217,DST-HOST,SUCCESS,C217
60,U162,C218,DST-HOST,SUCCESS,C218
60,U166,C224,DST-HOST,SUCCESS,C224
60,U39,C41,DST-HOST,SUCCESS,C41
60,U167,C225,DST-HOST,SUCCESS,C225
60,U167,C226,DST-HOST,SUCCESS,C226
60,U168,C227,DST-HOST,SUCCESS,C227
60,U92,C154,DST-HOST,SUCCESS,C154
60,U127,C155,DST-HOST,SUCCESS,C155
60,U85,C93,DST-HOST,SUCCESS,C93
60,U85,C127,DST-HOST,SUCCESS,C127
60,U60,C108,DST-HOST,SUCCESS,C108
60,U95,C154,DST-HOST,SUCCESS,C154
60,U105,C160,DST-HOST,SUCCESS,C160
60,U156,C161,DST-HOST,SUCCESS,C161
60,U97,C161,DST-HOST,SUCCESS,C161
60,U112,C144,DST-HOST,SUCCESS,C144
60,U169,C228,DST-HOST,SUCCESS,C228
61,U170,C229,DST-HOST,SUCCESS,C229
61,U171,C230,DST-HOST,SUCCESS,C230
61,U166,C231,DST-HOST,SUCCESS,C231
61,U166,C224,DST-HOST,SUCCESS,C224
61,U166,C151,DST-HOST,SUCCESS,C151
61,U166,C200,DST-HOST,SUCCESS,C200
61,U172,C232,DST-HOST,SUCCESS,C232
61,U39,C41,DST-HOST,SUCCESS,C41
61,U168,C227,DST-HOST,SUCCESS,C227
61,U173,C233,DST-HOST,SUCCESS,C233
61,U77,C234,DST-HOST,SUCCESS,C234
61,U77,C78,DST-HOST,SUCCESS,C78
61,U174,C235,DST-HOST,SUCCESS,C235
61,U92,C154,DST-HOST,SUCCESS,C154
61,U127,C155,DST-HOST,SUCCESS,C155
61,U12,C236,DST-HOST,SUCCESS,C236
61,U12,C237,DST-HOST,SUCCESS,C237
61,U12,C13,DST-HOST,SUCCESS,C13
61,U159,C160,DST-HOST,SUCCESS,C160
61,U169,C238,DST-HOST,SUCCESS,C238
61,U169,C228,DST-HOST,SUCCESS,C228
62,U130,C179,DST-HOST,SUCCESS,C179
62,U130,C239,DST-HOST,SUCCESS,C239
62,U175,C240,DST-HOST,SUCCESS,C240
62,U175,C200,DST-HOST,SUCCESS,C200
62,U171,C230,DST-HOST,SUCCESS,C230
62,U171,C150,DST-HOST,SUCCESS,C150
62,U176,C241,DST-HOST,SUCCESS,C241
62,U177,C242,DST-HOST,SUCCESS,C242
62,U177,C148,DST-HOST,SUCCESS,C148
62,U120,C164,DST-HOST,SUCCESS,C164
62,U120,C239,DST-HOST,SUCCESS,C239
62,U100,C121,DST-HOST,SUCCESS,C121
62,U166,C224,DST-HOST,SUCCESS,C224
62,U166,C151,DST-HOST,SUCCESS,C151
62,U166,C200,DST-HOST,SUCCESS,C200
62,U178,C243,DST-HOST,SUCCESS,C243
62,U153,C207,DST-HOST,SUCCESS,C207
62,U153,C239,DST-HOST,SUCCESS,C239
62,U108,C139,DST-HOST,SUCCESS,C139
62,U92,C154,DST-HOST,SUCCESS,C154
62,U48,C244,DST-HOST,SUCCESS,C244
62,U48,C104,DST-HOST,SUCCESS,C104
62,U85,C245,DST-HOST,SUCCESS,C245
62,U85,C127,DST-HOST,SUCCESS,C127
62,U105,C160,DST-HOST,SUCCESS,C160
62,U156,C161,DST-HOST,SUCCESS,C161
62,U97,C161,DST-HOST,SUCCESS,C161
62,U179,C161,DST-HOST,SUCCESS,C161
62,U112,C177,DST-HOST,SUCCESS,C177
62,U112,C145,DST-HOST,SUCCESS,C145
63,U180,C246,DST-HOST,SUCCESS,C246
63,U176,C241,DST-HOST,SUCCESS,C241
63,U166,C231,DST-HOST,SUCCESS,C231
63,U166,C224,DST-HOST,SUCCESS,C224
63,U166,C151,DST-HOST,SUCCESS,C151
63,U178,C243,DST-HOST,SUCCESS,C243
63,U181,C247,DST-HOST,SUCCESS,C247
63,U135,C184,DST-HOST,SUCCESS,C184
63,U182,C248,DST-HOST,SUCCESS,C248
63,U182,C249,DST-HOST,SUCCESS,C249
63,U108,C139,DST-HOST,SUCCESS,C139
63,U183,C250,DST-HOST,SUCCESS,C250
63,U92,C154,DST-HOST,SUCCESS,C154
63,U48,C244,DST-HOST,SUCCESS,C244
63,U93,C251,DST-HOST,SUCCESS,C251
63,U93,C107,DST-HOST,SUCCESS,C107
63,U60,C173,DST-HOST,SUCCESS,C173
63,U12,C252,DST-HOST,SUCCESS,C252
63,U184,C154,DST-HOST,SUCCESS,C154
63,U105,C160,DST-HOST,SUCCESS,C160
63,U159,C160,DST-HOST,SUCCESS,C160
63,U128,C167,DST-HOST,SUCCESS,C167
63,U128,C176,DST-HOST,SUCCESS,C176
64,U185,C253,DST-HOST,SUCCESS,C253
64,U176,C241,DST-HOST,SUCCESS,C241
64,U186,C254,DST-HOST,SUCCESS,C254
64,U186,C148,DST-HOST,SUCCESS,C148
64,U187,C255,DST-HOST,SUCCESS,C255
64,U181,C247,DST-HOST,SUCCESS,C247
64,U188,C148,DST-HOST,SUCCESS,C148
64,U188,C256,DST-HOST,SUCCESS,C256
64,U189,C108,DST-HOST,SUCCESS,C108
64,U60,C108,DST-HOST,SUCCESS,C108
64,U12,C13,DST-HOST,SUCCESS,C13
64,U12,C54,DST-HOST,SUCCESS,C54
64,U105,C160,DST-HOST,SUCCESS,C160
64,U156,C161,DST-HOST,SUCCESS,C161
64,U67,C49,DST-HOST,SUCCESS,C49
65,U180,C246,DST-HOST,SUCCESS,C246
65,U185,C253,DST-HOST,SUCCESS,C253
65,U190,C257,DST-HOST,SUCCESS,C257
65,U191,C258,DST-HOST,SUCCESS,C258
65,U187,C255,DST-HOST,SUCCESS,C255
65,U192,C259,DST-HOST,SUCCESS,C259
65,U193,C260,DST-HOST,SUCCESS,C260
65,U181,C247,DST-HOST,SUCCESS,C247
65,U181,C261,DST-HOST,SUCCESS,C261
65,U135,C184,DST-HOST,SUCCESS,C184
65,U194,C262,DST-HOST,SUCCESS,C262
65,U194,C263,DST-HOST,SUCCESS,C263
65,U92,C154,DST-HOST,SUCCESS,C154
65,U12,C236,DST-HOST,SUCCESS,C236
